google
microsoft
mozilla
vmware
debian
gstatic
tweakers
tewakimg
youtube
ytimg
netflix
windowsupdate
apple
plex
github
facebook
fbcdn
nvidia
geforce
disqus
twitter
flickr
adobe
bing
sophos
